filename,sentiment,emotion,text,whisper_transcription
audio76.m4a,positive,gratitude,I appreciate this more than you know., I appreciate this more than you know.
audio77.m4a,positive,gratitude,I can’t thank you enough for all the support you’ve given me—it’s hard to express how much it means that you’ve always been there for me., I can thank you enough for the all the support that you've given me. It's hard to express how much it means that you're always there for me.
audio78.m4a,positive,gratitude,I’m so thankful for everything you’ve done for me—it really made a difference during a tough time., I'm so thankful for everything you've done for me. It really made a difference during the tough time.
audio79.m4a,negative,grief,"I’ve been trying to stay strong, but it’s hard when grief seems to follow me everywhere."," I've been trying to stay strong, but it's hard when grief seems to follow me everywhere."
audio80.m4a,negative,grief,"Even in the busiest moments, there’s a lingering feeling of loss that I can’t shake off.", Even in the busiest moments there's a lingering feeling of loss that I can't shake off.
audio81.m4a,positive,love,I can begin to describe how much this means to me. It's more than just a failing. It's something deep inside that can't put into words, I can begin to describe how much this means to me. It's more than just a failing. It's something deep inside that can't put into words.
audio82.m4a,positive,love,Every little thing you do just makes me love you more, Every little thing you do just makes me love you more.
audio83.m4a,positive,love,"I didn’t expect to feel so loved, but every little gesture shows how much you care."," I didn't expect to feel so loved, but every little gesture shows how much you care."
audio84.m4a,negative,nervousness,"I could feel my palms sweating as I prepared for the meeting, and despite the preparation, the nerves were still there, racing through my mind.", I could feel my palm sweating as I prepared for the meeting and despite the preparation the nerves were still there racing through my mind.
audio85.m4a,negative,nervousness,The uncertainty of it all left me feeling on edge, The uncertainty of it all left me feeling on edge.
audio86.m4a,positive,pride,"After everything we’ve been through, I can’t help but feel proud of what we’ve accomplished together"," After everything we've been through, I can help but feel proud of what we've accomplished together."
audio87.m4a,positive,pride,"Looking at how much we’ve achieved, I feel an overwhelming sense of pride in what we’ve done."," Looking at how much we've achieved, I feel an overwhelming sense of pride in what we've done."
audio88.m4a,positive,pride,We did it!, We did it.
audio89.m4a,positive,pride,I can’t help but smile when I think about what we’ve achieved, I can help but smile when I think about what was achieved.
audio90.m4a,positive,realization,"As the pieces started to fall into place, I had a sudden realization that what I had been searching for was right in front of me the whole time."," As the PC started to fall into place, I had a sudden realization that what I've been searching for was right in front of me for the whole time."
audio91.m4a,positive,realization,"Oh, I get it now!"," Oh, I get it now."
audio92.m4a,positive,realization,"It didn’t hit me until that moment, but I realized I’d been missing the obvious solution all along."," It didn't hit me until that moment, but I realized I've been missing the obvious solution all along."
audio93.m4a,positive,relief,"After all the uncertainty and waiting, it was such a relief to finally see everything fall into place and know it was all going to be okay."," After all the uncertainty and waiting, it was such a relief to finally see everything falling to place and no it was all gonna be okay."
audio94.m4a,positive,relief,"When I heard the good news, it was like a weight had been lifted off my shoulders"," When I heard the good news, it was like a way to have been lived off my shoulders."
audio95.m4a,negative,remorse,"Looking back, I realize I should have handled things differently, and the weight of my decision continues to weigh heavily on me."," Looking back, I realized I should have handled things differently and the weight of my decision continues to weight heavily on me."
audio96.m4a,negative,remorse,"I’ve learned a valuable lesson, though the remorse still hangs over me."," I've learned a valuable lesson, though the remorse still hangs over me."
audio97.m4a,negative,remorse,"If only I had taken a moment to think it through, maybe I wouldn’t feel this way now."," If only I had taken a moment to think it through, maybe it wouldn't feel this way right now."
audio98.m4a,negative,sadness,"As I walked through the empty house, the realization that it was all over hit me hard—the silence felt so heavy"," As I walked through the empty house, the realization that it was all over hit me hard. The silence was felt so heavy."
audio99.m4a,negative,sadness,"It’s hard to put into words, but seeing everything change left a deep sadness that I can’t quite explain.", It's hard to put into words but seeing everything change felt like a dip sadness that I can quite to explain.
audio100.m4a,negative,sadness,It's strange how something so familiar can bring so much sadness when it's gone, It's strange how something so familiar can bring so much sadness when it's gone.
audio101.m4a,negative,sadness,The goodbye was harder than I expected., The good bye was hard that I expected.
audio102.m4a,positive,surprise,"Uau, eu não esperava que o trabalho fosse tão bem feito. O nivel de detalhe e a qualidade são impressionantes e eu não consigo deixar de admirar o trabalho envolvido."," Uau, eu não esperava que o trabalho fosse tão bem feito. Unível está a ali a qualidade são impressionantes e eu não consigo deixar de admirar o trabalho envolvido."
audio103.m4a,positive,excitement,Este foi provavelmente o melhor filme de ação que eu já vi. Todas as cenas de batalha foram impressionantes.," Este foi provavelmente o melhor filme de ação que já vi, todas as chenas de batalha foram impressionantes."
audio104.m4a,positive,excitement,This is probably the best action movie I've seen in a while. All the action sequences were incredible and well performed, This is probably the best action movie I've seen in a while. All the action sequences were incredible and well performed.
audio105.m4a,positive,realization,O livro que estou a ler neste momento tem me desafiado de uma maneira que eu não esperava. Cada capitulo parece despertar novas ideias e questionamentos sobre o mundo. Sobre a natureza humana e sobre o meu próprio papel no que está a acontecer ao meu redor. Está-me a fazer refletir profundamente sobre a minha vida e as minhas complexidades.," O livro que estou ali neste momento tem me desafiado de uma maneira que eu não esperava. Cada para cá, pítelo parece despertar novas ideias e questionamente sobre o mundo. Sobre natureiro humano e sobre o meu próprio papel no que está a acontecer ao meu redor. Estava a fazer referê-te profundamente sobre a minha vida e as minhas complexidades."
audio106.m4a,positive,realization,I've never imagined that a simple walk through the city could bring so much reflection on life. The way each street and every corner reminds me of old memories and makes me question how quickly time passes by without truly noticing., I've never imagined that a simple walk through the city could bring so much reflection on life. The way each street and every corner reminds me of old memories and makes me question how quickly time passes by without truly noticing.
audio107.m4a,positive,surprise,"I didn't think I would like this, but it completely surprised m"," I didn't think I would like this, but it completely surprised me."
audio108.m4a,positive,surprise,"Amazing, the plot wasn't expected, I thought I had to figure it out, but every twist kept me guessing."," Amazing, the plot wasn't expected, I thought I had to figure it out, but every twist kept me guessing."
audio109.m4a,positive,surprise,Totally unexpected! This show took me by surprise in the best way possible., Totally unexpected. This show took me by surprise in the best way possible.
audio110.m4a,positive,surprise,Totally caught me off guard, Totally caught me off guard.
audio111.m4a,positive,surprise,That was way better than I expected, That was way better than I expected.
audio112.m4a,positive,joy,Joyful!, Joyful.
audio113.m4a,positive,joy,I cannot help but laugh—this experience has been pure joy from start to finish, I cannot help but laugh. This experience has been pure joy from the start to finish.
audio114.m4a,positive,joy,This was such an uplifting experience. I feel light and joyful!," This is such a nublifting experience, I feel light and joyful."
audio115.m4a,positive,joy,"That concert was pure joy, the energy from the crowd and the music had me dancing all night."," That concert was pure joy, the energy from the crowd and the music had me dancing all night."
audio116.m4a,negative,sadness,Nothing ever seems to go right lately and it's getting exhausting., Nothing ever seems to go right lately and it's getting exhausting.
audio117.m4a,negative,disappointment,I keep trying but nothing ever changes. It's all just the same., I keep trying but nothing ever changes. It's all just the same.
audio118.m4a,negative,sadness,I don't know how much longer I can keep going like this., I don't know how much longer I can keep going like this.
audio119.m4a,negative,annoyance,"It feels like I'm stuck in a loop, unable to escape."," It feels like I'm stuck in a loop, unable to escape."
audio120.m4a,negative,annoyance,The more I try the worse it gets., The more I try the worse it gets.
audio121.m4a,negative,annoyance,It's impossible to keep up with everything., It's impossible to keep up with everything.
audio122.m4a,negative,annoyance,I'm getting tired of repeating myself., I'm getting tired of repeating myself.
audio123.m4a,negative,anger,I keep hitting dead ends no matter what I try., I keep hearing dead ends no matter what I try.
